Country,Population,Pollution,PollutionAccess,DeathsPollution,DeathsShare,PM25,OZONE,SmokeDaily,SmokeShare,Drinking,UnsafeWater,Calories,Fat,Sanitation,Overweight,Fertility,HealthExpenditure,HealthShare,Corruption,CorruptionPerception,Trust,TrustShare,TrustMedics,Literacy,HumanRights,PoliticalRegime,GiniIndex,EconomicFreedom,TotalDeaths,TotalCases,PopulationDensity,MedianAge,Aged65,Aged70,GDPpcp,Poverty,Cardiovascular,Diabetes,SmokersFemale,SmokersMale,HospBeds,LifeExpectancy,ReproductionRate,TotalVaccinations,FullVaccinations
ISR,8655541,18.6846113,100,21.25797356,5.68,13,66,19.4,25.2,51.9,0.02,3610,155.75,0.081048221,65.3,2.999,2599.132254,4.75169581,4.3,61,-0.053660519,60.63011702,88.43351042,97.099998,-1.064022925,6,41.4,7.469375569,722.89,96460.753,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,2.99,82.97,0.52,61.03,56.28
ITA,60461828,15.48360452,100,16.75889408,4.72,8.6,60,22.299999,23.7,67.6,0.01,3579,151.5,0.015273132,64.1,1.457,3238.889001,6.99265103,4.4,52,-0.074733861,33.775582,90.44952484,99.015793,1.368498227,10,34.7,7.272612388,1848.224,60975.778,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,3.18,83.51,0.9,13.16,5.88
JAM,2961161,15.07163593,90.5,41.89005713,6.08,8.7,49,14.7,16.8,45.8,0.12,2746,78.66,0.513283623,55,2.026,476.179109,2.80857803,4.4,44,NaN,NaN,NaN,88.499901,-0.026261613,9,45.5,7.198321709,210.053,13956.688,266.879,31.4,9.684,6.39,8193.571,NaN,206.537,11.28,5.3,28.6,1.7,74.47,0.86,1.42,NaN
JEY,101073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44.05,17.41
JOR,10203140,37.21426017,99.06,39.44835404,7.08,NaN,NaN,25.799999,NaN,4.7,0.09,3100,90.93,0.093623639,66.5,3.445,797.5933329,5.19310195,3.7,49,0.38980365,58.89529884,81.9377625,98.014351,0.145846286,-3,33.7,7.469710428,723.601,63259.84,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,NaN,NaN,1.4,74.53,0.87,2.99,1.02
JPN,126476458,13.15839601,100,11.38609245,3.61,10,67,21.299999,22.1,68.9,0.03,2726,87.7,0.023589296,29.4,1.444,3726.676374,8.55008168,4.2,73,-0.51872993,50.94904625,93.01156508,99,2.370679835,10,32.1,7.470801386,73.144,3869.55,347.778,48.2,27.049,18.493,39002.223,NaN,79.37,5.72,11.2,33.7,13.05,84.63,1.28,0.79,0.23
KAZ,18776707,19.65590442,95.34,52.1217876,5.94,NaN,NaN,24.4,24,39.4,0.03,3264,128.69,0.229380963,53.9,2.658,1068.062124,2.36790309,3.9,31,0.15293807,71.38929898,79.80607136,99.787849,-0.158347042,-6,26.5,7.118116418,173.034,16496.822,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7,43.1,6.7,73.6,1.22,0.48,0.1
KEN,53771300,16.29493079,13.42,90.34581977,6.54,26,41,9.5,10.7,22.7,5.89,2206,45.09,47.55794956,22.6,3.917,168.9817873,3.50386606,4.3,27,-0.42230323,64.53676556,78.37997338,78.023399,-1.201222357,9,48.5,7.214441717,41.993,2600.681,87.324,20,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,1.4,66.7,1.04,0.37,NaN
KGZ,6524191,17.91030372,81.25,70.16414517,8.3,NaN,NaN,18.1,26.5,38.2,0.22,2817,67.02,1.199785774,45.8,3.051,215.0576281,3.63943755,4.6,29,NaN,63.34180174,83.42420932,99.50132,-0.403234839,7,29,6.928605538,231.293,13683.995,32.333,26.3,4.489,2.882,3393.474,1.4,436.362,7.11,3.6,50.5,4.5,71.45,1.35,NaN,NaN
KHM,16718971,26.14133409,17.69,107.9794976,10.55,NaN,NaN,19.5,17.2,38.4,1.22,2477,32.81,8.994171447,20.3,2.594,183.2312281,1.25104201,3.8,20,-0.079135038,NaN,82.48974655,78.34594,0.025049962,2,NaN,7.187433978,1.316,174.353,90.672,25.6,4.412,2.385,3645.07,NaN,270.892,4,2,33.7,0.8,69.82,1.22,2.5,0.4
